SRA,Region,Zipcode,ZCTA,Total (55 to 64),Under .50 (55 to 64),.50 to .74 (55 to 64),.75 to .99 (55 to 64),1.00 to 1.24 (55 to 64),1.25 to 1.49 (55 to 64),1.50 to 1.74 (55 to 64),1.75 to 1.84 (55 to 64),1.85 to 1.99 (55 to 64),2.00 to 2.99 (55 to 64),3.00 to 3.99 (55 to 64),4.00 to 4.99 (55 to 64),5.00 and over (55 to 64),Total (65 to 74),Under .50 (65 to 74),.50 to .74 (65 to 74),.75 to .99 (65 to 74),1.00 to 1.24 (65 to 74),1.25 to 1.49 (65 to 74),1.50 to 1.74 (65 to 74),1.75 to 1.84 (65 to 74),1.85 to 1.99 (65 to 74),2.00 to 2.99 (65 to 74),3.00 to 3.99 (65 to 74),4.00 to 4.99 (65 to 74),5.00 and over (65 to 74),Total (75 and over),Under .50 (75 and over),.50 to .74 (75 and over),.75 to .99 (75 and over),1.00 to 1.24 (75 and over),1.25 to 1.49 (75 and over),1.50 to 1.74 (75 and over),1.75 to 1.84 (75 and over),1.85 to 1.99 (75 and over),2.00 to 2.99 (75 and over),3.00 to 3.99 (75 and over),4.00 to 4.99 (75 and over),5.00 and over (75 and over)
Jamul,East, 91935, 91935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamul,East, 91978, 91978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamul,East,00000,00000,92,0,0,27,0,0,0,0,0,0,18,26,21,119,0,0,36,0,11,0,0,51,0,0,7,14,67,4,5,37,0,0,0,17,0,0,0,0,4
Anza-Borrego Springs,North Inland,92004,92004,368,0,0,34,0,32,47,0,0,81,15,104,55,372,0,0,43,42,41,0,0,16,71,0,48,111,459,0,0,0,0,0,158,0,0,179,50,5,67
Anza-Borrego Springs,North Inland, 92036, 92036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anza-Borrego Springs,North Inland, 92259, 92259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anza-Borrego Springs,North Inland,00000,00000,368,0,0,34,0,32,47,0,0,81,15,104,55,372,0,0,43,42,41,0,0,16,71,0,48,111,459,0,0,0,0,0,158,0,0,179,50,5,67
Lakeside,East,92040,92040,5782,190,62,69,32,129,128,114,119,900,672,723,2644,3509,74,21,175,63,104,163,77,118,737,417,250,1310,2078,17,37,16,70,147,42,27,70,620,400,130,502
Lakeside,East,00000,00000,5782,190,62,69,32,129,128,114,119,900,672,723,2644,3509,74,21,175,63,104,163,77,118,737,417,250,1310,2078,17,37,16,70,147,42,27,70,620,400,130,502
Sweetwater,South ,91902,91902,2553,120,76,17,13,103,47,8,67,222,204,185,1491,2092,28,19,18,73,24,10,0,0,193,128,293,1306,1424,40,12,31,8,56,44,0,31,259,266,161,516
Sweetwater,South , 91913, 91913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweetwater,South , 91914, 91914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweetwater,South , 91915, 91915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweetwater,South ,00000,00000,2553,120,76,17,13,103,47,8,67,222,204,185,1491,2092,28,19,18,73,24,10,0,0,193,128,293,1306,1424,40,12,31,8,56,44,0,31,259,266,161,516
La Mesa,East,91941,91941,4726,129,47,112,80,115,196,54,27,539,499,366,2562,2904,16,26,179,61,90,50,34,28,403,253,330,1434,2618,33,62,91,99,126,132,59,26,356,275,328,1031
La Mesa,East, 91942, 91942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Mesa,East,00000,00000,4726,129,47,112,80,115,196,54,27,539,499,366,2562,2904,16,26,179,61,90,50,34,28,403,253,330,1434,2618,33,62,91,99,126,132,59,26,356,275,328,1031
Fallbrook,North Inland,92003,92003,804,34,32,39,21,20,12,0,9,95,134,30,378,649,0,19,0,15,51,53,0,0,82,119,43,267,367,0,8,0,10,0,22,0,0,28,102,41,156
Fallbrook,North Inland, 92028, 92028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallbrook,North Inland, 92088, 92088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallbrook,North Inland, 92592, 92592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallbrook,North Inland,00000,00000,804,34,32,39,21,20,12,0,9,95,134,30,378,649,0,19,0,15,51,53,0,0,82,119,43,267,367,0,8,0,10,0,22,0,0,28,102,41,156
Coastal,North Central,92037,92037,4791,301,34,64,115,44,61,33,125,195,289,227,3303,4600,84,25,62,14,41,79,47,0,392,212,403,3241,3861,126,45,27,178,89,63,52,74,419,275,289,2224
Coastal,North Central, 92093, 92109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coastal,North Central,00000,00000,4791,301,34,64,115,44,61,33,125,195,289,227,3303,4600,84,25,62,14,41,79,47,0,392,212,403,3241,3861,126,45,27,178,89,63,52,74,419,275,289,2224
San Marcos,North Inland,92069,92069,4476,264,156,52,203,203,155,156,128,785,550,514,1310,2774,141,6,88,81,212,102,48,224,465,310,339,758,2056,88,20,109,95,224,74,36,0,660,205,153,392
San Marcos,North Inland, 92078, 92078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marcos,North Inland,00000,00000,4476,264,156,52,203,203,155,156,128,785,550,514,1310,2774,141,6,88,81,212,102,48,224,465,310,339,758,2056,88,20,109,95,224,74,36,0,660,205,153,392
Chula Vista,South ,91910,91910,8732,266,195,414,441,277,187,40,244,1451,1072,952,3193,5836,266,169,236,222,246,187,108,137,864,731,681,1989,5170,239,132,413,291,344,274,95,198,802,790,400,1192
Chula Vista,South , 91911, 91911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chula Vista,South ,00000,00000,8732,266,195,414,441,277,187,40,244,1451,1072,952,3193,5836,266,169,236,222,246,187,108,137,864,731,681,1989,5170,239,132,413,291,344,274,95,198,802,790,400,1192
Mountain Empire,East,91905,91905,159,16,1,40,0,0,51,0,0,0,13,34,4,54,18,0,0,11,0,0,0,0,0,0,25,0,251,21,0,0,59,23,0,0,0,0,0,148,0
Mountain Empire,East, 91906, 91906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mountain Empire,East, 91934, 91934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mountain Empire,East, 91962, 91962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mountain Empire,East, 91963, 91963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mountain Empire,East, 91980, 91980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mountain Empire,East,00000,00000,159,16,1,40,0,0,51,0,0,0,13,34,4,54,18,0,0,11,0,0,0,0,0,0,25,0,251,21,0,0,59,23,0,0,0,0,0,148,0
Spring Valley,East,91977,91977,7147,277,146,434,263,259,138,195,183,1329,944,875,2104,3896,194,38,165,162,318,57,174,75,627,706,328,1052,2622,84,23,118,55,102,256,71,60,509,548,293,503
Spring Valley,East, 92077, 92077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring Valley,East,00000,00000,7147,277,146,434,263,259,138,195,183,1329,944,875,2104,3896,194,38,165,162,318,57,174,75,627,706,328,1052,2622,84,23,118,55,102,256,71,60,509,548,293,503
Carlsbad,North Coastal,92008,92008,3551,271,16,123,69,129,126,26,31,576,151,288,1745,2381,104,46,28,31,91,97,158,18,162,124,361,1161,2162,46,25,130,48,69,89,34,14,397,118,283,909
Carlsbad,North Coastal, 92009, 92009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlsbad,North Coastal, 92010, 92010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlsbad,North Coastal, 92011, 92011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlsbad,North Coastal,00000,00000,3551,271,16,123,69,129,126,26,31,576,151,288,1745,2381,104,46,28,31,91,97,158,18,162,124,361,1161,2162,46,25,130,48,69,89,34,14,397,118,283,909
