SRA,Region,Zipcode,ZCTA,NumRCFE,NumRCFEBeds,NumRCFEInALWP,2012Pop65Over,2012Pop55Over,2030Pop65Over,2030Pop55Over,2012PopADOD55Over,2030PopADOD55Over,2012PopLowIncome55Over,2012PopLowIncome65Over,2012PopMinority,2012ADODPerRCFE,2030ADODPerRCFE,2012PercentLowIncome65Over,2012PercentLowIncome55Over,2012LowIncome65OverPerRCFE,2012LowIncome55OverADODRatio,PopMinorityPerRCFE,PopMinorityADODRatio,2012MedianHHIncome,2012MedianHHIncome65Over
Poway,North Inland,92064,92064,43,401.0,0,0,0,0,0,0,0,1967,1239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94317,56398
Poway,North Inland, 92131, 92131,3,612.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Poway,North Inland,00000,00000,46,1013.0,0,11796,24075,20510,33655,1420,1994,1967,1239,26332,30.87,43.35,10.5,8.17,26.93,1.39,572.43,18.54,94317,56398
Central San Diego,Central,92101,92101,3,260.0,1,0,0,0,0,0,0,3600,1970,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53644,23423
Central San Diego,Central, 92102, 92102,2,6.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Central San Diego,Central, 92103, 92103,3,400.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Central San Diego,Central, 92104, 92104,1,9.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Central San Diego,Central, 92134, 92134,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Central San Diego,Central, 92136, 92113,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Central San Diego,Central,00000,00000,9,675.0,1,16488,33540,41996,68917,3193,6424,3600,1970,79193,354.78,713.78,11.95,10.73,218.89,1.13,8799.22,24.8,53644,23423
South Bay,South ,91932,91932,7,50.0,0,0,0,0,0,0,0,1635,940,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46975,30857
South Bay,South , 92154, 92154,12,40.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
South Bay,South , 92173, 92173,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
South Bay,South ,00000,00000,19,90.0,0,13336,26499,29368,51486,2022,3996,1635,940,112914,106.42,210.32,7.05,6.17,49.47,0.81,5942.84,55.84,46975,30857
Oceanside,North Coastal,92054,92054,10,176.0,0,0,0,0,0,0,0,1973,936,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50686,51250
Oceanside,North Coastal, 92056, 92056,7,843.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Oceanside,North Coastal, 92057, 92057,25,308.0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Oceanside,North Coastal, 92058, 92058,3,18.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Oceanside,North Coastal,00000,00000,45,1345.0,6,18989,36354,35342,54179,2532,3920,1973,936,81428,56.27,87.11,4.93,5.43,20.8,0.78,1809.51,32.16,50686,51250
Del Mar-Mira Mesa,North Central,92014,92014,5,36.0,0,0,0,0,0,0,0,313,196,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119393,78717
Del Mar-Mira Mesa,North Central, 92126, 92126,53,301.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Del Mar-Mira Mesa,North Central, 92130, 92130,4,381.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Del Mar-Mira Mesa,North Central,00000,00000,62,718.0,0,15392,35156,35375,63429,1654,3084,313,196,77735,26.68,49.74,1.27,0.89,3.16,0.19,1253.79,47.0,119393,78717
Harbison Crest/El Cajon,East,92019,92019,19,638.0,0,0,0,0,0,0,0,2352,1461,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72942,46641
Harbison Crest/El Cajon,East, 92020, 92020,20,267.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Harbison Crest/El Cajon,East, 92021, 92021,19,211.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Harbison Crest/El Cajon,East,00000,00000,58,1116.0,0,0,0,0,0,0,0,2352,1461,0,0.0,0.0,999.0,999.0,25.19,999.0,0.0,999.0,72942,46641
Peninsula,North Central,92106,92106,6,69.0,0,0,0,0,0,0,0,811,479,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80460,69437
Peninsula,North Central, 92107, 92107,1,6.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Peninsula,North Central, 92140, 92140,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Peninsula,North Central, 92147, 92147,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Peninsula,North Central,00000,00000,7,75.0,0,7362,14328,14638,21563,905,1353,811,479,13527,129.29,193.29,6.51,5.66,68.43,0.9,1932.43,14.95,80460,69437
El Cajon,East,92019,92019,19,638.0,0,0,0,0,0,0,0,2352,1461,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72942,46641
El Cajon,East, 92020, 92020,20,267.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
El Cajon,East,00000,00000,39,905.0,0,15593,29763,28185,43667,3702,5322,2352,1461,46618,94.92,136.46,9.37,7.9,37.46,0.64,1195.33,12.59,72942,46641
