SRA,Region,Zipcode,ZCTA,55 to 64 (Low Income),65 to 74 (Low Income),75 and over (Low Income),55 and Over (Low Income),65 and Over (Low Income)
Pauma,North Inland,00000,00000,41,17,3,61,20
Ramona,North Inland,92065,92065,1138,410,480,2028,890
Ramona,North Inland,00000,00000,1138,410,480,2028,890
Jamul,East,91917,91917,27,98,63,188,161
Jamul,East, 91935, 91935,0,0,0,0,0
Jamul,East, 91978, 91978,0,0,0,0,0
Jamul,East,00000,00000,27,98,63,188,161
Anza-Borrego Springs,North Inland,92004,92004,113,142,158,413,300
Anza-Borrego Springs,North Inland, 92036, 92036,0,0,0,0,0
Anza-Borrego Springs,North Inland, 92259, 92259,0,0,0,0,0
Anza-Borrego Springs,North Inland,00000,00000,113,142,158,413,300
Lakeside,East,92040,92040,843,795,426,2064,1221
Lakeside,East,00000,00000,843,795,426,2064,1221
Sweetwater,South ,91902,91902,451,172,222,845,394
Sweetwater,South , 91913, 91913,0,0,0,0,0
Sweetwater,South , 91914, 91914,0,0,0,0,0
Sweetwater,South , 91915, 91915,0,0,0,0,0
Sweetwater,South ,00000,00000,451,172,222,845,394
La Mesa,East,91941,91941,760,484,628,1872,1112
La Mesa,East, 91942, 91942,0,0,0,0,0
La Mesa,East,00000,00000,760,484,628,1872,1112
Fallbrook,North Inland,92003,92003,167,138,40,345,178
Fallbrook,North Inland, 92028, 92028,0,0,0,0,0
Fallbrook,North Inland, 92088, 92088,0,0,0,0,0
Fallbrook,North Inland, 92592, 92592,0,0,0,0,0
Fallbrook,North Inland,00000,00000,167,138,40,345,178
Coastal,North Central,92037,92037,777,352,654,1783,1006
Coastal,North Central, 92093, 92109,0,0,0,0,0
Coastal,North Central,00000,00000,777,352,654,1783,1006
San Marcos,North Inland,92069,92069,1317,902,646,2865,1548
San Marcos,North Inland, 92078, 92078,0,0,0,0,0
San Marcos,North Inland,00000,00000,1317,902,646,2865,1548
Chula Vista,South ,91910,91910,2064,1571,1986,5621,3557
Chula Vista,South , 91911, 91911,0,0,0,0,0
Chula Vista,South ,00000,00000,2064,1571,1986,5621,3557
Mountain Empire,East,91905,91905,108,29,103,240,132
Mountain Empire,East, 91906, 91906,0,0,0,0,0
Mountain Empire,East, 91934, 91934,0,0,0,0,0
Mountain Empire,East, 91962, 91962,0,0,0,0,0
Mountain Empire,East, 91963, 91963,0,0,0,0,0
Mountain Empire,East, 91980, 91980,0,0,0,0,0
Mountain Empire,East,00000,00000,108,29,103,240,132
Spring Valley,East,91977,91977,1895,1183,769,3847,1952
Spring Valley,East, 92077, 92077,0,0,0,0,0
Spring Valley,East,00000,00000,1895,1183,769,3847,1952
Carlsbad,North Coastal,92008,92008,791,573,455,1819,1028
Carlsbad,North Coastal, 92009, 92009,0,0,0,0,0
Carlsbad,North Coastal, 92010, 92010,0,0,0,0,0
Carlsbad,North Coastal, 92011, 92011,0,0,0,0,0
Carlsbad,North Coastal,00000,00000,791,573,455,1819,1028
